company,job_name,salary,city,work_year,education,job_description
哗啦啦产品研发部招聘,数据分析师（中高级）,20k-30k,北京,经验1-3年,本科及以上,"<div>
        <p>1.  负责哗啦啦业务分析、商户分析、营销分析等，用数据分析的方法对业务发展、销售、运营等提供分析报告，并对业务、考核、管理、策略等进行判断和建议；<br>2.  在工作中提炼和总结惯常数据分析方法，形成数据产品与工具，提升业务运营能力，特别是数据化运营能力；<br>3.  建立并保持对餐饮行业、产品和用户的深度理解，提出相应的策略建议。</p>
<p> </p>
<p>任职资格：<br>1. 正规统招本科学历，计算机相关专业，一年以上同等岗位工作经验；<br>2. 熟练掌握SQL，熟悉常用数据统计和分析方法；<br>3. 良好的数据分析能力，善于用数据进行分析、归纳、发现、解决问题；<br>4. 很强的商业洞察能力，数字敏感性与逻辑思维能力，能够用数据分析方法发现产品、运营、战略相关的各种复杂商业分析问题；<br>5. 快速业务学习和理解能力，有强大的自驱力，追求卓越，锐意创新，对工作充满热情；<br>6.  有统计学、运筹学、机器学习背景，有策略设计、数学建模案例优先；<br>7.  有互联网、咨询、餐饮行业背景或相关运营经验优先。</p>
<p> </p>
<p>行业标杆，高速成长， 团队活跃，平台广阔，交通便利！<br>前景，专注于本地生活的广泛领域——餐饮O2O；<br>晋升，广阔的职业发展空间，越努力你就越幸运；<br>氛围，那是年轻人的世界，公司营造各种交流机会；<br>环境，舒适高大上的办公环境，西直门地标建筑，没有雾霾还可看见西山落日。<br>哗啦啦期待你的加入！</p>
<p> </p>
        </div>"
南京领添客户关系管理中心招聘,物流数据分析专员,4k-6k,南京,经验不限,大专及以上,"<div>
        <p>岗位职责：</p>
<p>1、对数字敏感度高，具备较强的分析总结能力，具备良好的数据呈现能力，包括PPT展示和讲解能力；</p>
<p>2、负责收集各项数据、整理数据报告，针对数据报告撰写分析；</p>
<p>4、及时发现和分析数据的变化情况和潜在问题；</p>
<p>5、数据模型建立和持续评估效果，数据分析统计报表的建立与优化；</p>
<p>6、为物流时效把控提供数据上的决策支持；</p>
<p>7、出现物流异常问题，需要沟通解决提出优化建议。</p>
<p><br></p>
<p>任职要求：</p>
<p>1、数学、统计或相关专业毕业，大学英语六级以上；</p>
<p>2、熟练使用excel等办公软件；</p>
<p>3、良好的逻辑思维能力，善于学习和思考；</p>
<p>4、良好的团队协作精神，沟通和组织协调能力；</p>
<p>5、对电商行业和境外物流运输有一定了解；</p>
<p>6、有相关经验者优先。</p>
        </div>"
LinkDoc商业化团队招聘,数据分析师,10k-20k,北京,经验1-3年,本科及以上,"<div>
        <p>招聘岗位：</p>
<p><br></p>
<p>数据分析师/资深数据分析师</p>
<p><br></p>
<p><br></p>
<p>公司简介：</p>
<p><br></p>
<p>LinkDoc作为医疗数据解决方案及肿瘤大数据平台，致力于为中国各医疗机构提供高质量临床与科研数据结构化整体解决方案。为优化医院管理、规范医疗行动、实施分级诊疗、监控流行疾病带来全方位多层次的优质数据服务。</p>
<p><br></p>
<p>LinkDoc现已与全国超过200家最顶尖的肿瘤医院建立了合作关系，约有3000余名肿瘤医生使用LinkDoc数据，收集、整理和分析的病例超过40万例, 覆盖了10余个肿瘤病种和学科，技术储备和业务规模均位居领先位置。与此同时，LinkDoc承接国家十二五、863等多项国家级科研课题研究，在国家医学研究领域也扮演着重要的角色。</p>
<p><br></p>
<p><br></p>
<p>团队简介：</p>
<p><br></p>
<p>数据产品事业部是LinkDoc的核心部门之一，负责全公司面向医院、药企、健康保险、病人的所有数据产品的设计、开发、维护、与销售。在这个部门中，你可以深入了解行业端的业务需求与痛点，亲自实践开发端的产品设计与数据建模，积极参与售后端的客户指导与产品维护，掌握大数据领域端到端的工作技能。加入到数据产品事业部，不仅可以获得BAT同等程度的数据分析方面的技术指导，更可以深入学习到壁垒极高的医药行业业务知识，加速自身未来的成长速度。</p>
<p><br></p>
<p>数据产品事业部汇集了来自于麦肯锡、百度、中国平安、IMS Health、默沙东制药、阿斯利康制药等行业领先企业的同事。大部分同事毕业于全球顶级医学院校Harvard University, Johns Hopkins University，或者清华、北大、复旦、交大、南开等国内名校，团队年龄结构非常年轻。我们渴望多元化新鲜血液的加入！</p>
<p><br></p>
<p><br></p>
<p>职位要求：</p>
<p><br></p>
<p>综合背景：</p>
<p>1. 在领先的互联网公司、咨询公司有过2~3年的数据分析与建模经验</p>
<p>2. 对生物、医疗、医药、健康险等大健康行业充满兴趣，对解决现有医疗行业的痛点充满热情</p>
<p>2. 喜欢与数字打交道，擅长通过数据分析与数据可视化进行商业决策，能够从海量大数据中提炼出商业洞见</p>
<p>3. 思维开放，敢于试错，对挑战尚未解决过的探索性问题具有兴趣 </p>
<p>4. 优先考虑以下几类候选人：</p>
<p>– 数学、物理、工程、计算机、运筹、统计等定量领域本科或以上学历</p>
<p>– 扎实定量分析技能的生物、医学、经管领域本科及以上学历</p>
<p><br></p>
<p>技术能力：</p>
<p>1. 熟练使用R，Python或其他某一种数据分析或机器学习软件工具</p>
<p>2. 熟练使用MySQL, PostgreSQL, MongoDB或其他数据库</p>
<p>3. （加分项）熟悉Hadoop, Hive, Spark等大数据处理平台</p>
<p>4. （加分项）熟悉自然语言处理、文本挖掘等软件包或分析算法</p>
<p>5. （加分项）熟悉机器学习算法</p>
<p><br></p>


        </div>"
小米小米商城招聘,商业数据分析师,20k-40k,北京,经验5-10年,本科及以上,"<div>
        <p>工作职责：</p>
<p>1、负责小米商城销售和运营数据的梳理分析，输出分析报告，为管理层提供决策支持</p>
<p>2、深入业务，理解业务运作逻辑，利用数据分析手段，发现业务增长点并提出行动建议</p>
<p>3、对业务运作进行数据监测、分析、统计，持续改进产品与运营策略</p>
<p>4、应用先进的统计建模、数据挖掘、机器学习等方法建立数据模型进行销量预测，优化供应链运作模型</p>
<p>5、与团队内其他成员共同设计数据分析平台，建立数据分析的流程，规范和方法</p>
<p>职位要求：</p>
<p>1、本科以上学历，经济学、统计学、计算机等和数据处理高度相关专业，5年及以上数据分析工作经验</p>
<p>2、具有优秀的商业敏感度和突出的分析能力，能够灵活利用数据，设计分析方案解决复杂的商业问题</p>
<p>3、具有较强的结构化思维、逻辑思维能力，对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断</p>
<p>4、有数据建模实践经验（2年以上相关工作经验）者优先，熟练使用至少一种数据分析工具（R、Excel、SPSS、SAS等）</p>
<p>5、熟练使用SQL等数据库查询语言优先，有电商背景优先</p>
<p>6、重中之重，必须细致，追求工作结果的准确、过程的效率，专业和严谨</p>

        </div>"
上海众调科技数据挖掘部招聘,数据分析师,10k-20k,上海,经验3-5年,本科及以上,"<div>
        <p>岗位职责：</p>
<p>1、数据分析；</p>
<p>2、模型开发、验证与优化；</p>
<p>3、模型测试等。</p>
<p><br></p>
<p>任职要求：</p>
<p>1、模型开发、汽车、金融风险管理或相关工作3年经验；</p>
<p>2、本科及以上学历，数学、统计、金融、计算机、汽车及相关专业硕博士优先；</p>
<p>3、对数据建模感兴趣，有一定的数据敏感性，对金融机构授信、风险管理流程、汽车行业有一定了解；</p>
<p>4、有一定办公软件及计算机编程基础，熟悉SAS、Matlab、VBA、SPSS、STATA、R、Python，Scala等软件者优先；</p>
<p>5、具备较强的数据分析能力、逻辑思维能力、执行能力和团队精神</p>
<p>6、有诚信、愿意分享和承担责任，勇于探索与坚持创新；</p>
<p>7、工作地点：上海。</p>

        </div>"
杭州至美运营部招聘,数据分析专员,5k-8k,杭州,经验1-3年,本科及以上,"<div>
        <p>岗位职责：</p>
<p>1、负责天猫美妆类数据报表的收集汇总、复核检查及报告输出；</p>
<p>2、细致了解美妆类目数据需求，制作个性化类目报告； </p>
<p>3、负责对美妆环境和竞争对手信息收集，并确数据的准确性和及时性；</p>
<p>4、对消费者评价数据做相关深入挖掘分析，为产品优化提供建议。</p>
<p><br></p>
<p>任职要求：</p>
<p>1、统计学、计算机专业本科及以上学历，有电商从业经验者优先；</p>
<p>2、熟练使用办公软件，熟悉Excel中透视表、函数的使用及数据建模；</p>
<p>3、能够建立和使用数据库；</p>
<p>4、具有较强的逻辑分析和判断能力；</p>
<p>5、对数据敏感，善于思考，善于发现并解决问题；</p>
<p>6、具有较好的沟通能力及团队协作能力，执行力强。</p>
        </div>"
富力地产互联网事业部招聘,数据分析,10k-20k,广州,经验3-5年,本科及以上,"<div>
        <p><strong><span class="""">岗</span></strong><strong><span class="""">位</span></strong><strong><span class="""">职责</span></strong><strong><span class="""">：</span></strong></p>
<p><span class="""">1、收集、整理、</span><span class="""">统计</span><span class="""">和分析</span><span class="""">产</span><span class="""">品运</span><span class="""">营</span><span class="""">数据，并定期</span><span class="""">输</span><span class="""">出数据分析</span><span class="""">报</span><span class="""">告；</span></p>
<p><span class="""">2、</span><span class="""">监</span><span class="""">控、分析用</span><span class="""">户</span><span class="""">情况和流量数据，</span><span class="""">为</span><span class="""">用</span><span class="""">户</span><span class="""">推广或</span><span class="""">产</span><span class="""">品运</span><span class="""">营</span><span class="""">提供支撑和建</span><span class="""">议</span><span class="""">；</span></p>
<p><span class="""">3、收集、</span><span class="""">监测</span><span class="""">及分析</span><span class="""">竞</span><span class="""">争</span><span class="""">对</span><span class="""">手在用</span><span class="""">户</span><span class="""">推广和</span><span class="""">产</span><span class="""">品运</span><span class="""">营</span><span class="""">方面的策略和情况。</span></p>
<p><span class=""""> </span></p>
<p><strong><span class="""">任</span></strong><strong><span class="""">职</span></strong><strong><span class="""">要求：</span></strong></p>
<p><span class="""">1、</span><span class="""">经济</span><span class="""">管理、</span><span class="""">统计</span><span class="""">学或数学本科及以上学</span><span class="""">历</span><span class="""">；</span></p>
<p><span class="""">2、熟</span><span class="""">练</span><span class="""">使用excel、PPT等</span><span class="""">办</span><span class="""">公</span><span class="""">软</span><span class="""">件和SPSS、SAS等数据分析</span><span class="""">软</span><span class="""">件；</span></p>
<p><span class="""">3、三年以上互</span><span class="""">联</span><span class="""">网行</span><span class="""">业</span><span class="""">数据分析相关工作</span><span class="""">经历</span><span class="""">；</span></p>
<p><span class="""">4、</span><span class="""">对</span><span class="""">于网站分析</span><span class="""">监测</span><span class="""">工具有了解，如GA；</span></p>
<p><span class="""">5、良好的数据敏感度，能</span><span class="""">够</span><span class="""">独立</span><span class="""">进</span><span class="""">行</span><span class="""">产</span><span class="""">品运</span><span class="""">营</span><span class="""">相关</span><span class="""">专题</span><span class="""">分析、</span><span class="""">报</span><span class="""">告撰写、</span><span class="""">汇报</span><span class="""">等工作；</span></p>
<p><span class="""">6、</span><span class="""">强</span><span class="""">烈的工作</span><span class="""">责</span><span class="""">任心、</span><span class="""">严谨</span><span class="""">的工作</span><span class="""">态</span><span class="""">度及良好的学</span><span class="""">习</span><span class="""">、沟通、</span><span class="""">逻辑</span><span class="""">分析能力，有独立开展研究</span><span class="""">项</span><span class="""">目</span><span class="""">经验</span><span class="""">。</span></p>

        </div>"
安智数据运营部招聘,高级数据分析,20k-30k,北京,经验5-10年,本科及以上,"<div>
        <p>职位要求：</p>
<p>1、计算机、统计、数学等相关专业大学本科以上学历，5年以上数据分析经验，有互联网大数据建模分析经验者优先；<br></p>
<p>2、具有较强的数据洞察力，优秀的逻辑思维能力及展现能力；<br></p>
<p>3、良好的沟通能力，推动力；<br></p>
<p>4、精通sql, excel, VBA, Tableau, SAS, SPSS, R等分析统计软件；<br></p>
<p>5、具备数据挖掘、概率统计基础理论知识；逻辑分析能力突出，对数据有高度敏感性，善于从数据中发现隐藏的规律；<br></p>
<p>6、有互联网分发平台、或游戏平台背景优先；<br></p>
<p><br></p>
<p>岗位职责：<br></p>
<p>1、深入了解应用市场分发平台体系，优化运营策略，推进平台个性化，制定并实施分析方案，并根据数据分析结果为运营精准投放的改进，提出合理化建议；</p>
<p>2、跟进产品改版，预先收集并提出各类数据统计要求，监控统计数据，深入挖掘数据分析需求，为产品迭代提供数据支持；<br></p>
<p>3、监控并分析各渠道数据，及时发现刷量渠道，预估各渠道用户生命周期，改进质量评级算法，为渠道投放提供及时准确的数据保障。<br></p>

        </div>"
Teambition数据分析招聘,数据分析经理,20k-30k,上海,经验5-10年,本科及以上,"<div>
        <p>职位描述：</p>
<p>1. 建立并优化数据统计分析机制，形成工作流程与制度</p>
<p>2. 进行数据分析、检测，挖掘提升公司运营效率和业务增长的潜力点</p>
<p>3. 完善各部门数据统计分析报表，日常运营数据的统计和汇报，数据异常和变动的报警反馈</p>
<p>4. 对数据分析团队成员进行培训和管理</p>
<p><br></p>
<p>职位要求：</p>
<p>1. 统计、应用数学、计算机相关专业本科以上学历</p>
<p>2. 5年以上数据分析工作经验，3年及以上在互联网行业的工作经验</p>
<p>3. 优秀的商业分析能力，有及时发现和分析其中隐含问题的敏锐性，能对复杂业务数据进行抽象概括，建立数学模型</p>
<p>4. 工作积极主动，良好的团队合作精神、沟通能力，结果导向</p>
<p>5. 有团队管理经验</p>

        </div>"
微贷网金融产品中心招聘,数据分析师,15k-24k,上海,经验3-5年,本科及以上,"<div>
        <p>岗位职责：</p>
<p>1、根据业务及产品的需求，规划和设计数据指标体系，对运营数据跟踪分析，发现潜在的商业机会、风险或缺陷，对公司战略及产品决策提供数据支持；</p>
<p>2、基于对互联网产品和业务的深入理解的基础上，独立承担复杂分析任务，为产品方向提供决策支持；</p>
<p>3、日常运营数据的接入、清洗和处理、中间表/宽表的建设和管理，统计报表的开发和维护；负责相关项目性工作的数据支持、业务报表的制作；</p>
<p>4、负责数据抽取、清洗、转换、导入导出、存储过程及报表等产品业务相关数据统计模型的开发；</p>
<p>5、利用数据分析和模型解决问题，改进业务流程，对相关数据异常情况提前预警；</p>
<p>7、向公司输出季报、年报等汇报材料、日常性分析报告等。</p>
<p>岗位要求：</p>
<p>1、本科及以上学历，金融、管理、财务、计算机、统计学、应用数学等相关专业，了解金融风控相关知识者优先；</p>
<p>2、3年以上互联网或金融机构数据分析、挖掘工作经验，具有财务分析或企业经营分析经验者优先，具有海量数据分析处理经验及大数据分析计算平台开发经验者优先；</p>
<p>3、有一定数理统计基础，有SAS/SPSS/R之一的统计分析软件编程经验；</p>
<p>4、熟悉数据建模知识、数据挖掘理论，掌握数据分析体系方法；具备对各种现实业务场景，选择、建立数学模型的能力；良好的数据分析能力，有丰富的数据分析、挖掘、清洗和建模的经验者优先；</p>
<p>5、精通Excel，熟练结构化数据库（如ORACLE）及分布式环境，能通过SQL熟练操作数据；熟悉Hadoop生态系统，具有Python、Java等开发经验者优先；</p>
<p>6、具有较强逻辑推理能力、学习理解能力、沟通协调能力及一定的商业意识。</p>
        </div>"
凡普金科钱站招聘,高级数据分析师,20k-40k,北京,经验3-5年,本科及以上,"<div>
        <p>工作职责：</p>
<p>1、与金融分析、BD等业务部门对接数据需求，从行业与公司层面产出合理、权威的指标定义与计算逻辑，可直接交付开发；</p>
<p>2、产出周/月度公司级数据分析报告，为管理层决策提供数据支撑与权威建议；</p>
<p>3、对公司业务数据进行深度挖掘，构建各种分析模型，从分析师角度为画像、预测、舆情等产品提出想法；</p>
<p>4、对P2P市场动向、竞品特征进行监控与研究，并能定期产出有价值的数据报告。</p>
<p> </p>
<p>任职要求：</p>
<p>1、3年以上数据运营、数据分析工作经验，有互联网金融行业项目经验加分；</p>
<p>2、金融、经济、数学、计算机等相关专业本科及以上学历；</p>
<p>3、熟练掌握Hive/SQL，熟练使用SAS、SPSS、R、Excel等工具，了解常用数据挖掘方法和模型。</p>

        </div>"
人人车产品研发部招聘,资深数据分析师,18k-36k,北京,经验3-5年,硕士及以上,"<div>
        <p>职位描述：<br>     1. 基于对互联网产品和拍卖业务深入理解的基础上，独立承担数据运营分析工作，为业务和产品提供数据决策和策略支持。<br>     2. 从拍卖全流程切入，分析竞价结果、活动分析、收益分析、行为路径、转化率等运营核心数据，给各部门提供数据反馈和建议。<br>     3. 通过对产品业务的抽象研究分析，搭建数据指标体系，统一数据口径，建立异常预警机制。<br>     4. 具有较强的产品需求意识，对于产品设计和项目管理均有较强的把控能力。<br>     任职要求：<br>     1. 本科以上学历，5年以上互联网站数据统计和运营分析经验。<br>     2. 良好的数据敏感度，能从海量数据提炼核心结果，具备独立编写数据分析报告的能力。<br>     3. 熟练使用EXCEL和SQL，拥有一定的统计基础，对R、Python等统计建模软件有一定了解<br>     4. 善于沟通，具备较强的逻辑能力和跨团队协作能力，有责任感，抗压能力强。    </p>

        </div>"
维C理财技术部招聘,数据分析师,10k-20k,深圳,经验3-5年,本科及以上,"<div>
        <p>岗位职责</p>
<p>1、根据公司业务规划，梳理并持续优化分析体系，为公司及各部门决策提供支持 ；</p>
<p>2、根据具体业务规划，推动从数据采集到分析汇报的全流程体系建设，监控关键指标 ；</p>
<p>3、建立分析模型，应用统计分析、数据挖掘等方法解决业务需求并根据数据分析提出决策建议 ；</p>
<p>4、为产品、市场、运营、风控等部门决策提供分析报告、报表和可视化内容支持。</p>
<p><br></p>
<p><br></p>
<p>任职要求<br></p>
<p>1、统计学、数学、计算机、金融、数据挖掘等相关专业本科或以上学历；</p>
<p>2、三年以上相关工作经验，有统计建模、数据挖掘、互联网数据分析应用的项目经验；</p>
<p>3、掌握SQL，至少熟练使用一种数据分析工具，包括但不限于R/Python/Spark或BI分析工具；</p>
<p>4、具有良好的商业敏感度和数据敏感度，能够开发创新而实际的分析方法以解决复杂的问题；</p>
<p>5、具有较强结构化思维、逻辑思维能力，具备优秀的信息整合与分析能力，能够形成清晰的观点和判断。</p>
<p>6、有运营优化相关背景、互联网金融从业背景人员优先；</p>

        </div>"
探迹招聘,数据分析师（实习）,2k-4k,广州,经验不限,本科及以上,"<div>
        <p>工作职责：</p>
<p>• 负责挖掘互联网企业数据来源，并对这些数据与材料加以分析和使用；</p>
<p>• 负责企业数据的维度枚举及整理分类，并确保各项分析报表的准确性和及时性；</p>
<p>• 通过数据分析结果，给各相关业务带来专业准确的意见和建议；</p>
<p>• 负责向开发工程师提出数据爬取需求，并跟进数据爬取的开发进度。</p>
<p><br></p>
<p>工作要求：</p>
<p>• 本科及以上学历，有相关数据分析经验者优先；</p>
<p>• 掌握常用的数据统计分析方法及相关的软件工具；</p>
<p>• 具备较强的数据敏感度，善于发现应用价值高的数据来源；</p>
<p>• 熟练使用Excel，Word等常用的Office办公软件；</p>
<p>• 有数据库经验者优先；</p>
<p>• 工作细心，有耐心，具备良好的团队协作能力。</p>

        </div>"
江苏亿科达研发部招聘,数据分析,10k-20k,深圳,经验3-5年,大专及以上,"<div>
        <p>岗位职责：</p>
<p>1、根提业务及产品的需求。规划和设计数展指标体系，对运营数定限路分析发现潜在的商业机会、风检现缺浴对公司战略及产品决策提供数展支持；</p>
<p>2、日常运营数据的接入清洗和处理中间表/宽表的建设和管理统</p>
<p>计 报表的开发和维护；</p>
<p>3、对运营数据进建模和挖属应用于日常数据分析以及数据应用研发过程；</p>
<p>4、向集团高层输出学报年报等报材料、日常性分析报告等:</p>
<p>5、对数据质量检核及统计学的方法给出规则依据；</p>
<p>任职要求：<br></p>
<p>1、专科及以上学历数学，统计及计算机相关专业5年以上相关工作经验；</p>
<p>2、具备较强的适模分析能力、学能功及理解能力，熟悉数招建模知识数据挖据理论草展数据分析体系方法；</p>
<p>3、精通Excel 掌握Python,R SAS.SPSS等任两数据分析工具，</p>
<p>她悉SQL脚本编写；</p>
<p>4、有海盘数据分析处理经验及大数据分析计算平台的开发经验，熟悉Hadoop/MapReduce 者优先；</p>
<p>5、有金融学习或工作背景了解金融风控相关知识者优先；</p>
<p>6、具有良好的沟通协调能力和团队意识责任心强工作认真仔细、能够承受工作中的压力。</p>

        </div>"
天戏互娱游戏开发部招聘,游戏运营产品数据分析师,10k-18k,上海,经验3-5年,本科及以上,"<div>
        <p>职位描述：</p>
<p>1. 负责公司游戏运营数据的跟踪、监控、分析，输出数据分析报告。</p>
<p>2. 负责建立并维护游戏数据分析与报告的工作办法、工具、体系。</p>
<p>3. 及时提供基于数据的风险预警。</p>
<p>4. 提供基于数据的游戏优化建议。</p>
<p>5. 提供项目组所需的专项数据分析。</p>
<p> </p>
<p>岗位要求：</p>
<p>1. 本科及以上学历要求，三年及以上游戏行业数据分析相关经验，独立负责上线游戏产品数据分析及报告撰写。</p>
<p>2. 了解游戏产品数据与运营数据的架构、算法、工具，对大数据分析和数据挖掘有一定认知，具创新精神。</p>
<p>3. 能够根据公司特点构建相关数据分析模型和报告体系，持续提供运营与研发工作的优化建议。</p>
<p>4. 具备良好的数据敏感度和商业关联性，能够敏锐的捕获数据价值、产品机会和潜在风险。</p>
<p>5. 熟悉游戏产品数值设计，与平台投放、运营导量有相关合作经验者优先。</p>
        </div>"
小米呼叫中心招聘,数据分析专员（分析客服数...,6k-9k,北京,经验1-3年,大专及以上,"<div>
        <p>岗位职责：</p>
<p>1、熟练使用办公软件Excel、Word、Visio等办公软件，整理收集数据信息，提供分析报告；</p>
<p>2、根据项目需求撰写项目需求书，模板制定；优化、编写各项流程标准；</p>
<p>3、辅助部门主管执行项目，通过及时的沟通和问题反馈，以及对结果的QC，确保项目目标的达成；</p>
<p>4、加强与内部的协调，优化外部的合作；</p>
<p>5、向部门主管/经理提交数据、项目汇总报告，确保上级领导及时了解准确的数据、项目进展信息； </p>
<p><br></p>
<p>任职要求：<br></p>
<p>1、至少一年以上客服行业数据分析经验；</p>
<p>2、了解手机基本操作知识、系统运行知识；</p>
<p>3、良好的沟通协作能力；</p>
<p>4、熟练运用Excel报表及PPT的制作；</p>
<p>5、有独特创意。</p>


        </div>"
富力地产企业管理中心招聘,BI数据分析师,10k-20k,广州,经验1-3年,本科及以上,"<div>
        <p><strong>岗位职责：</strong></p>
<p>1、对企业相关管理软件运行数据进行相关统计，提供决策和业务优化。</p>
<p>2、规划及开发风险相关的数据产品，支持相关数据的日常监控，调用及分析。</p>
<p>3、通过数据分析模型建立风险预警机制，协助风险控制部门完善风控流程。</p>
<p>4、能够结合多种工具，有效展示数据分析成果。</p>
<p><strong>任职要求：</strong></p>
<p>1、统计学，应用数学，计算机相关专业本科（含）以上学历，研究生及以上学历优先。</p>
<p>2、2年以上数据分析及建模相关经验，熟悉风险监控与预警机制者优先，熟悉常用机器学习算法及应用者优先。</p>
<p>3、熟练掌握及使用SQL，熟悉SAS/R/Python等分析工具。</p>
<p>4、熟练掌握Excel及PPT使用。</p>
<p>5、良好的沟通交流能力，文字语言表达能力，较好的逻辑分析能力，具备敏锐的商业嗅觉，对数字敏感。</p>
        </div>"
汇电云联研发中心招聘,phyton高级工程师(机器学...,15k-20k,广州,经验1-3年,本科及以上,"<div>
        <p>职责：</p>
<p>1.  能源、电力行业数据处理、分析统计，曲线分解和趋势预测等；</p>
<p>2.  公司产品开发；</p>
<p>3.  日常业务相关数据处理、转化、计算分析等工作。</p>
<p><br></p>
<p>要求：</p>
<p>1.  计算机、统计学相关专业本科及以上学历 ，能熟练使用Python语言以及科学计算的扩展库；</p>
<p>2.  熟练使用gbdt、xgboost、聚类等方法作归类分析，结合传统回归模型以及机器学习方法作预测分析 ；。</p>
<p>3.  熟练使用Mysql、Mongodb；</p>
<p>4.  能够灵活处理各种格式文本以及完成格式化输出；</p>
<p>5.  对Python科学计算，数据处理和分析有着浓厚兴趣；</p>
<p>6.  认真细致，对数据中的瑕疵和错误要有零容忍的态度；</p>
<p>7.  具有一定分析问题和解决问题的能力，学习能力强，优秀的职业素养和较强的沟通能力，自我驱动，独立有创造力。</p>
<p><br></p>
<p>如果您符合下面情况，将优先考虑：</p>
<p>1. 有阿里云开发平台及odps接口使用经验；</p>
<p>2. 熟悉统计学和概率论，并能够使用Python语言实现；</p>
<p>3. 熟悉Scrapy、Beautiful Soup等爬虫框架及工具；</p>
<p>4. 会科学上网，在向别人提问前有自行尝试解决问题的能力。</p>

        </div>"
Teambition招聘,数据分析负责人,25k-35k,上海,经验5-10年,本科及以上,"<div>
        <p>职位描述：</p>
<p>1. 数据仓库建设：分析业务部分实际需求,规划、推进公司数据体系的建设及维护</p>
<p>2. 数据采集及埋点管理：规划埋点方案及维护埋点质量</p>
<p>3. 数据指标体系及报表建设：梳理公司核心指标，开发及维护数据可视化报表</p>
<p>4. 业务建议：进行数据分析，挖掘提升公司运营效率和业务增长的潜力点</p>
<p>5. 流程建设：建立并优化数据统计分析机制，形成工作流程与制度</p>
<p>6. 团队管理：对数据分析团队成员进行培训和管理</p>
<p>职位要求：</p>
<p>1. 统计、应用数学、计算机相关专业本科以上学历。</p>
<p>2. 3年以上数据分析工作经验，有互联网行业的工作经验者优先</p>
<p>3. 有综合的数据工作经验，能够进行数据仓库规划及建设者优先</p>
<p>4. 优秀的商业分析能力，能对复杂业务数据进行抽象概括，建立数学模型</p>
<p>5、熟悉SQL/R/Python/SAS中的一种或几种</p>
<p>6. 工作积极主动，良好的团队合作精神、沟通能力，结果导向</p>
        </div>"
探迹研发部招聘,数据分析师,8k-15k,广州,经验1-3年,本科及以上,"<div>
        <p>工作职责：</p>
<p>负责挖掘互联网企业数据来源，并对这些数据与材料加以分析和使用；<br>负责企业数据的维度枚举及整理分类，并确保各项分析报表的准确性和及时性；<br>通过数据分析结果，给各相关业务带来专业准确的意见和建议；<br>负责向开发工程师提出数据爬取需求，并跟进数据爬取的开发进度。<br></p>
<p>任职要求：</p>
<p>本科及以上学历，有相关数据分析经验者优先，有数据库经验者优先；<br>掌握常用的数据统计分析方法及相关的软件工具；<br>具备较强的数据敏感度，善于发现应用价值高的数据来源；<br>熟练使用Excel，Word等常用的Office办公软件；<br>工作细心，有耐心，具备良好的团队协作能力。</p>

        </div>"
江苏亿科达研发部招聘,数据分析师,10k-15k,深圳,经验3-5年,本科及以上,"<div>
        1. 熟悉各种分析理论和方法；
<br>2. 熟练应用oracle、sqlserver、mysql、Redis、SAS、R、Python、hadoop等主流数据库和数据分析工具；
<br>3. 有数据中心大型项目经验，有数据可视化经验优先。
        </div>"
海外网技术部招聘,数据分析师,8k-12k,北京,经验1-3年,本科及以上,"<div>
        <p><strong>岗位名称：数据分析师</strong></p>
<p><br></p>
<p><strong>岗位职责：</strong></p>
<p>1、负责搭建舆情分析业务体系，协助大数据工程师完成数据仓库建模；</p>
<p>2、负责用户调研、及用户行为分析等数据商业价值挖掘工作；</p>
<p>3、利用数据挖掘、数据分析、机器学习相关算法，建立数据挖掘模型，提取关键数据的特征，为公司业务发展决策提供数据支撑。</p>
<p><br></p>
<p><strong>任职要求：</strong></p>
<p>1、统招本科以上数学、统计学、信息管理、计算机等相关专业毕业，1年以上相关工作经验，要求英语能力强，至少能浏览英文网站和英文资料；</p>
<p>2、熟悉Linux操作,熟练掌握Python语言以及基于Python的数据处理框架；</p>
<p>3、熟悉R、SAS、SPSS、Matlab等数据挖掘工具；</p>
<p>4、熟悉常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯，协同过滤，关联关系等）；</p>
<p>5、熟练Redis、HBase等NoSQL数据库；</p>
<p>6、熟悉Hive/Mahout/SparkMlib等分布式开源项目中的一种或多种。</p>

        </div>"
